"shRanBP6_1.CEL"	"shRanBP6_2.CEL"	"shRanBP6_3.CEL"	"shRanBP6_DOX_1.CEL"	"shRanBP6_DOX_2.CEL"	"shRanBP6_DOX_3.CEL"
"ADIPOR1"	10.5886	10.5777	10.5138	10.4982	10.5047	10.5083
"ADIPOR2"	10.7757	10.7895	10.6844	10.5853	10.5751	10.5579
"ADIRF"	4.6501	4.64	4.4035	4.7394	4.5619	4.5652
"ADIRF-AS1"	5.6088	5.4407	5.4347	5.2763	5.5849	5.6463
"ADK"	9.9528	9.8862	9.7706	9.7317	9.8537	9.8176
"ADM"	9.5212	9.528	9.6752	9.3424	9.2646	9.1763
"ADM2"	7.2314	7.1664	7.0812	7.0878	7.1768	7.135
"ADM5"	6.6353	6.9127	6.9273	6.5643	6.3498	6.3261
"ADNP"	10.9356	10.9413	10.9432	10.8946	10.8593	10.8313
"ADNP2"	10.4264	10.4079	10.4465	10.0901	10.1093	9.9798
"ADO"	9.1498	9.29	9.2885	9.4919	9.5613	9.5166
"ADORA1"	5.7194	5.4416	5.4685	5.5045	5.5954	5.6663
"ADORA2A-AS1"	5.2284	5.2594	5.1592	5.1215	5.2352	5.0442
"ADORA2B"	9.4349	9.3953	9.4284	9.4841	9.504	9.4072
"ADORA3"	4.5574	4.5046	4.3975	4.2667	4.3021	4.3559
"ADPGK"	9.6815	9.6263	9.5981	9.1112	9.1213	9.036
"ADPRH"	4.7391	4.6468	4.3739	4.6501	4.3872	4.4787
"ADPRHL1"	6.6648	6.6129	6.5985	6.565	6.6226	6.6579
"ADPRHL2"	10.0944	10.1182	10.0638	9.8071	9.8222	9.7636
"ADPRM"	8.7889	8.754	8.8699	8.47	8.4125	8.2951
"ADRA1A"	3.7186	3.8263	3.8236	3.7551	3.6815	3.7908
"ADRA1B"	5.0875	5.653	5.4005	5.3275	5.2064	5.3832
"ADRA1D"	4.1701	4.0106	4.0862	4.0135	4.1478	4.0536
"ADRA2A"	4.3322	4.613	4.6318	4.5039	4.4506	4.712
"ADRA2B"	6.3372	6.2566	6.3392	6.2419	6.2116	6.1776
"ADRA2C"	6.177	6.0289	6.2964	6.7339	6.6541	6.6329
"ADRB1"	5.0219	5.2204	5.2002	4.8846	4.9905	5.0638
"ADRB2"	6.0238	6.0229	6.2814	6.1906	6.4349	6.135
"ADRB3"	4.953	4.8339	4.9821	4.8002	4.9165	4.8749
"ADRBK1"	6.9671	7.0206	6.9825	7.0008	7.1648	7.1612
"ADRBK2"	7.9094	8.0778	7.9203	7.8298	7.7716	7.6031
"ADRM1"	9.8541	9.9337	9.7719	9.4724	9.402	9.3392
"ADSL"	12.396	12.3378	12.3363	12.0888	12.0329	11.9987
"ADSS"	7.2365	7.1089	7.166	7.1191	7.0645	7.1113
"ADSSL1"	6.0889	5.9075	5.974	6.5369	6.5788	6.5429
"ADTRP"	4.074	4.0033	4.0454	3.8383	4.2269	4.0984
"AEBP1"	6.0075	5.6303	5.8521	5.8082	5.9508	5.9829
"AEBP2"	8.042	8.2318	8.1532	7.9413	7.9282	7.9858
"AEN"	10.1958	10.2053	10.2039	10.1969	10.2497	10.2169
"AES"	7.1455	7.144	7.0661	7.295	7.5141	7.3642
"AFAP1"	4.8752	4.9615	4.8347	4.7718	4.9578	4.8054
"AFAP1-AS1"	4.2886	4.1847	4.2619	4.2613	4.2141	3.9953
"AFAP1L1"	5.4617	5.5922	5.3897	5.7776	5.705	5.7354
"AFAP1L2"	4.1061	4.1138	4.0609	4.261	4.4395	4.0489
"AFF1"	5.6609	5.6092	5.7744	5.6715	5.4815	5.561
"AFF2"	4.6591	4.5507	4.7495	4.5751	4.6113	4.5827
"AFF3"	4.6274	4.5404	4.6327	4.4419	4.4508	4.666
"AFF4"	5.5998	5.6701	5.73	5.1214	4.9252	5.0326
"AFG3L1P"	7.6281	7.8172	7.6943	7.077	6.9842	6.909
"AFG3L2"	10.0074	10.0809	9.9504	9.7576	9.8056	9.6822
"AFM"	3.8374	3.6992	3.957	3.7487	3.6418	3.637
"AFMID"	6.6122	6.7786	6.7642	6.2068	6.1461	5.9076
"AFP"	5.7578	5.7605	5.7727	5.6623	5.5945	5.7397
"AFTPH"	9.1551	9.19	9.2187	9.0576	9.1272	9.026
"AGA"	9.1088	9.1956	9.1284	8.8213	8.7027	8.5567
"AGAP1"	7.7399	7.8568	7.948	8.4791	8.3625	8.2895
"AGAP11"	4.8461	4.843	4.7647	4.623	4.6412	4.6643
"AGAP2"	5.1722	4.9644	4.8135	4.8683	4.6519	4.6337
"AGAP2-AS1"	6.7244	6.4119	6.5035	6.3589	6.4153	6.1792
"AGAP3"	7.813	7.6043	7.7373	7.6744	7.7787	7.7293
"AGAP4"	5.6902	5.9615	6.0154	6.4321	6.1074	6.3783
"AGAP6"	5.9251	5.8169	5.9305	6.3983	6.1454	6.1714
"AGAP9"	5.7844	5.942	5.9511	6.4194	6.0873	6.5169
"AGBL1"	4.2707	4.0825	4.0953	4.0417	4.1937	4.0792
"AGBL2"	4.0207	3.8969	3.3836	3.4135	3.6433	3.7492
"AGBL3"	3.3785	3.4801	3.3053	3.5468	3.5069	3.5796
"AGBL4"	4.3905	4.3286	4.2945	4.2791	4.378	4.4507
"AGBL5"	7.3237	7.2086	7.4021	7.8261	7.8529	7.8419
"AGER"	5.2754	5.2298	5.4287	5.2056	5.354	5.4486
"AGFG1"	7.7486	7.8253	7.7462	8.5444	8.5481	8.6699
"AGFG2"	5.3965	5.2019	5.31	5.1126	5.209	5.3656
"AGGF1"	8.8191	8.7638	8.7258	9.4787	9.4696	9.4169
"AGK"	8.1958	8.1495	8.2137	9.6982	9.4636	9.6746
"AGL"	11.6307	11.6735	11.5479	11.3767	11.4285	11.4689
"AGMAT"	6.2908	6.2032	6.2772	6.1159	6.0537	6.0633
"AGO1"	7.2202	7.32	7.3533	7.4493	7.4549	7.4829
"AGO2"	9.7554	9.8261	9.7383	9.094	9.1298	8.9938
"AGO3"	7.5698	7.5933	7.7428	7.1301	7.0492	6.9744
"AGO4"	5.7026	5.7243	5.6969	5.849	5.7684	5.8446
"AGPAT1"	9.167	9.081	9.0614	9.2233	9.2077	9.1565
"AGPAT2"	7.9197	7.9277	7.8286	8.0221	8.0203	7.9855
"AGPAT3"	7.0474	7.2136	7.1905	8.1633	8.0728	8.1146
"AGPAT4"	8.3374	8.5413	8.5051	8.7816	8.649	8.5457
"AGPAT4-IT1"	6.3865	6.4321	6.6832	6.7445	6.6205	6.94
"AGPAT5"	10.0115	10.0325	10.0459	9.3902	9.4556	9.4057
"AGPS"	9.3306	9.3573	9.3391	9.4164	9.4699	9.4202
"AGR2"	4.1581	4.065	4.1552	3.8986	4.1243	4.185
"AGR3"	3.1809	3.1096	3.083	3.1733	3.0522	3.0909
"AGRN"	6.6208	6.7309	6.6435	6.7816	6.8862	6.8587
"AGRP"	5.8664	6.0114	5.9594	5.93	5.9839	6.0623
"AGT"	4.943	5.0444	4.9616	5.0899	5.0097	5.1172
"AGTPBP1"	9.4895	9.5057	9.4576	9.56	9.6392	9.5424
"AGTR1"	5.76	5.839	5.9543	5.8176	5.8406	5.5552
"AGTR2"	4.0044	4.002	3.8236	3.8239	3.8236	3.8877
"AGTRAP"	9.0408	9.1037	8.918	9.1917	9.2187	9.1911
"AGXT"	4.9274	4.8485	4.822	4.9583	4.8651	4.8465
"AGXT2"	5.6556	5.3432	5.6036	5.4891	5.5166	5.5329
"AHCTF1"	9.5736	9.5758	9.4816	9.2929	9.3377	9.221
"AHCY"	11.8726	11.8908	11.9135	11.7976	11.8249	11.7892
"AHCYL1"	10.9148	10.9544	10.8961	10.9204	10.9605	10.8693
"AHCYL2"	7.542	7.6358	7.498	6.9402	7.0968	6.9386
"AHDC1"	6.4538	6.3216	6.2896	6.1058	6.234	6.2134
"AHI1"	5.1944	5.3573	5.5293	5.7216	5.7822	5.672
"AHNAK"	5.2436	5.3695	5.4903	5.3961	5.5244	5.5046
"AHNAK2"	4.673	4.5635	4.6532	4.9718	4.8536	4.8488
"AHR"	8.2723	8.2038	8.3186	7.8904	7.9659	7.8684
"AHRR"	8.5695	8.5847	8.5239	9.1543	9.1752	9.1739
"AHSA1"	12.1014	12.1257	12.069	11.7343	11.7838	11.7023
"AHSA2"	7.5086	7.7967	7.856	8.1922	8.2289	8.1993
"AHSG"	4.8828	4.707	4.6147	4.6572	4.7163	4.7385
"AHSP"	6.0092	5.999	5.7546	5.7597	5.867	6.0436
"AICDA"	3.7445	3.7142	3.6457	3.6351	3.6429	3.6461
"AIDA"	10.9716	11.0297	11.0327	11.1554	11.1828	11.1395
"AIF1"	6.059	5.9572	6.0479	6.0005	5.8775	6.0457
"AIF1L"	7.8688	7.8146	7.8807	7.6918	7.683	7.59
"AIFM1"	11.412	11.4081	11.3533	11.4628	11.4646	11.4057
"AIFM2"	6.818	6.7935	6.6093	6.7393	6.6429	6.6844
"AIFM3"	6.0817	5.6951	6.2015	5.8389	5.7957	6.0441
"AIG1"	5.6146	5.4361	5.4473	6.1536	5.9787	6.1155
"AIM1"	4.2922	4.2934	4.1662	4.421	4.6053	4.2163
"AIM1L"	7.3318	7.2797	7.2871	6.9017	6.8646	6.9277
"AIM2"	4.512	4.7317	4.5446	4.544	4.7374	4.6459
"AIMP1"	9.7644	9.7594	9.877	10.526	10.5535	10.5576
"AIMP2"	11.6518	11.5143	11.5873	11.4063	11.3539	11.3507
"AIP"	9.5205	9.6448	9.4963	9.4868	9.4535	9.4639
"AIPL1"	5.3553	5.2445	5.3544	5.1617	5.1208	5.1418
"AIRE"	5.9434	5.7756	5.7742	5.6532	5.6331	5.7396
"AJAP1"	4.4437	4.5336	4.4354	4.329	4.5335	4.463
"AJUBA"	6.775	6.9578	6.9697	6.897	6.9093	6.7999
"AK1"	7.3868	7.5533	7.3347	8.099	8.0274	8.1285
"AK2"	10.1267	10.1609	10.1722	9.713	9.6539	9.6177
"AK3"	10.2663	10.2408	10.3567	10.3393	10.3694	10.3856
"AK4"	9.8324	9.8308	9.8653	9.7912	9.7783	9.6821
"AK5"	4.6962	4.948	5.2903	5.2621	5.1873	5.4612
"AK6"	11.0127	11.1125	10.9882	10.7748	10.8946	10.785
"AK7"	5.447	5.4126	5.2538	5.5502	5.5134	5.5702
"AK8"	6.3418	6.2687	6.0569	6.3401	6.4698	6.4558
"AK9"	7.1189	7.1513	7.1335	5.9672	6.4869	5.8054
"AKAP1"	9.576	9.6218	9.5849	9.2792	9.302	9.2106
"AKAP10"	6.4996	6.552	6.7867	6.9184	6.5024	6.9563
"AKAP11"	8.48	8.5342	8.509	8.5427	8.5389	8.663
"AKAP12"	7.5445	7.6817	7.719	7.9806	7.9608	7.9499
"AKAP13"	6.729	6.5773	6.716	6.93	6.6243	6.7351
"AKAP14"	3.4537	3.3263	3.41	3.6112	3.5842	3.4011
"AKAP17A"	8.9456	9.0508	8.9304	8.6857	8.718	8.6156
"AKAP3"	5.422	5.5084	5.3198	5.4448	5.8361	5.8597
"AKAP4"	4.583	4.2189	4.3314	4.2954	4.4205	4.3314
"AKAP5"	4.8274	4.7995	4.8112	4.8825	5.0258	5.0272
"AKAP6"	4.5522	4.2171	4.294	4.2568	4.2	4.3675
"AKAP7"	5.9667	5.8668	5.9668	5.9295	5.9109	5.9778
"AKAP8"	9.3965	9.3874	9.4052	8.9566	8.9708	8.9158
"AKAP8L"	6.8171	6.8448	6.9939	6.7766	6.6759	6.8162
"AKAP9"	3.9096	4.1995	4.1746	4.6915	4.5998	4.6887
"AKIP1"	9.5296	9.5148	9.4219	9.5184	9.4882	9.4358
"AKIRIN1"	10.6695	10.7678	10.6279	10.3935	10.3538	10.2195
"AKIRIN2"	9.384	9.574	9.4417	8.884	8.7123	8.7425
"AKNA"	6.6211	6.4372	6.581	6.1423	6.197	6.1401
"AKNAD1"	3.4079	3.1859	3.2415	3.2538	3.3645	3.308
"AKR1A1"	10.0741	10.0676	10.0827	10.3243	10.2987	10.292
"AKR1B1"	12.7931	12.7943	12.7996	12.8649	12.8343	12.8264
"AKR1B10"	3.5991	3.5192	3.6663	3.605	3.6392	3.4984
"AKR1C1"	5.1344	5.0398	5.1962	5.0284	5.051	5.2027
"AKR1C2"	4.9528	4.8929	5.0237	4.4775	4.8687	4.9045
"AKR1C3"	3.5343	3.6677	3.6815	3.567	3.5533	3.488
"AKR1C4"	3.3374	3.3706	3.3758	3.2062	3.3674	3.4115
"AKR1C6P"	5.8321	5.7113	5.6569	5.6788	5.7125	5.6969
"AKR1D1"	3.1991	3.5211	3.5215	3.3334	3.3948	3.3039
"AKR1E2"	4.6106	4.3993	4.4537	4.3118	4.4027	4.4983
"AKR7A2"	10.887	10.823	10.8251	11.0761	11.0478	10.9747
"AKR7A3"	8.4102	8.3894	8.4113	8.4746	8.4205	8.4604
"AKT1"	7.2776	7.1948	7.1732	7.5215	7.4059	7.3841
"AKT1S1"	6.9147	7.0942	6.9835	6.4811	6.3287	6.1476
"AKT2"	5.455	5.2548	5.3603	5.2908	5.2854	5.1235
"AKT3"	6.7306	6.7407	6.7396	6.891	6.9159	7.0516
"AKTIP"	9.3553	9.3115	9.2358	8.85	8.8971	8.7395
"ALAD"	7.5886	7.6664	7.5363	7.7733	7.7958	7.7426
"ALAS1"	11.1102	11.1938	11.1344	10.7239	10.6921	10.7131
"ALAS2"	5.1859	5.2086	5.1065	5.1679	5.0805	5.0937
"ALB"	3.5182	3.654	3.4728	3.4552	3.6991	3.4878
"ALCAM"	10.1485	10.0863	10.202	9.6702	9.7217	9.6333
"ALDH16A1"	7.0952	7.2484	7.0181	7.3572	7.2325	7.2766
"ALDH18A1"	11.1371	11.1214	11.1314	10.6785	10.7678	10.6453
"ALDH1A1"	3.5057	3.9238	3.4683	3.4818	3.5712	3.5462
"ALDH1A2"	6.4751	6.265	6.1235	6.0155	5.9246	6.0247
"ALDH1A3"	5.5053	5.6548	5.6342	5.8381	5.882	5.9006
"ALDH1B1"	7.8048	7.843	7.8025	7.8063	7.7653	7.6452
"ALDH1L1"	6.2271	6.284	6.3888	6.1417	6.2065	6.1263
"ALDH1L1-AS2"	6.2872	6.2127	6.2256	6.1798	6.1483	6.2314
"ALDH1L2"	6.9455	7.1874	6.9832	6.5377	6.3028	6.3729
"ALDH2"	11.0873	11.0709	11.0344	10.8547	10.927	10.7749
"ALDH3A1"	5.0813	5.1159	5.1357	5.1885	5.0508	4.9066
"ALDH3A2"	9.9056	9.9259	9.8215	9.7301	9.8093	9.6392
"ALDH3B1"	6.0504	5.9361	6.1423	5.9779	6.1339	6.2683
"ALDH3B2"	3.6074	3.6723	3.8213	3.6294	3.5843	3.7671
"ALDH4A1"	6.7762	6.5452	6.6897	6.8072	6.8526	6.824
"ALDH5A1"	8.1597	8.0549	8.1591	8.8763	8.8095	8.7564
"ALDH6A1"	9.1783	9.1757	9.1576	9.2729	9.1696	9.1833
"ALDH7A1"	9.8363	9.8437	9.7643	10.7383	10.6378	10.6957
"ALDH8A1"	7.8775	7.8665	8.0361	6.7891	6.6734	6.5109
"ALDH9A1"	11.6932	11.7062	11.7174	12.2085	12.1692	12.1869
"ALDOA"	13.3583	13.361	13.3355	13.2102	13.1851	13.1544
"ALDOAP2"	3.5532	3.9481	3.6417	3.6834	3.8712	3.5716
"ALDOB"	4.1083	4.0225	4.0518	3.9572	3.86	3.817
"ALDOC"	7.5079	7.4382	7.4904	7.4605	7.4686	7.4297
"ALG1"	9.4447	9.3885	9.2057	8.8944	8.9467	8.7263
"ALG10"	6.6641	6.6208	6.7165	7.3253	7.0555	7.2373
"ALG12"	6.891	6.5986	6.6724	6.5889	6.6027	6.5289
"ALG13"	10.8073	10.7492	10.7945	10.3253	10.5063	10.4342
"ALG14"	8.2994	8.3444	8.2268	7.8765	7.7358	7.778
"ALG2"	8.0963	7.9719	8.2091	8.0018	7.9751	7.9232
"ALG3"	7.8761	7.8708	7.8762	8.039	7.9508	7.9
"ALG5"	5.5778	5.4432	5.4005	6.0714	5.75	5.6631
"ALG6"	10.4746	10.4052	10.3677	11.0129	10.9324	10.9888
"ALG8"	11.2427	11.1309	11.1543	11.0111	10.9702	10.9393
"ALG9"	8.648	8.7226	8.7019	8.9315	8.7993	8.7753
"ALK"	5.0376	5.0579	5.0553	4.9658	5.105	5.1681
"ALKBH1"	8.2449	8.2166	8.1647	7.7605	7.6837	7.6808
"ALKBH2"	9.5656	9.5142	9.4725	9.2618	9.1682	9.0999
"ALKBH3"	9.819	9.8509	9.7843	9.7742	9.6964	9.6327
"ALKBH3-AS1"	4.0557	4.1855	4.1056	4.0219	4.2043	4.0685
"ALKBH4"	8.4261	8.5259	8.494	8.1439	8.0272	8.0769
"ALKBH5"	7.7914	7.8004	7.8225	7.6547	7.6101	7.6116
"ALKBH6"	8.9524	8.8836	8.8283	8.7082	8.7153	8.6421
"ALKBH7"	7.4258	7.5696	7.4886	7.4256	7.3417	7.4055
"ALKBH8"	8.1833	8.2213	8.205	8.5095	8.4833	8.4597
"ALLC"	4.877	4.9056	4.8196	4.7845	4.9383	4.9408
"ALMS1"	9.5686	9.6669	9.5481	9.2129	9.2502	9.2053
"ALMS1-IT1"	7.154	7.155	7.2407	6.2626	6.1365	5.97
"ALMS1P"	5.6912	5.5461	5.6939	5.4866	5.5977	5.5013
"ALOX12"	4.1562	4.1641	4.3918	4.058	4.081	4.1586
"ALOX12-AS1"	5.4427	5.5115	5.3135	6.0309	5.7058	5.9399
"ALOX12B"	4.2342	3.9869	4.1265	3.9421	4.0485	3.9044
"ALOX12P2"	5.2061	5.3097	5.3941	5.3116	5.3333	5.3869
"ALOX15"	4.0046	3.9537	4.0407	3.9349	3.8138	3.7797
"ALOX15B"	4.3962	4.3844	4.3214	4.2649	4.2361	4.25
"ALOX5"	4.4921	4.3414	4.4646	4.4734	4.4397	4.4905
"ALOX5AP"	6.019	6.0516	6.0711	5.9795	6.0819	6.1545
"ALOXE3"	4.1354	4.1513	4.1941	4.0147	4.3393	3.8558
"ALPI"	5.2142	4.927	5.2042	4.8627	5.1226	5.0094
"ALPK1"	5.7713	5.93	5.833	5.8003	5.8347	5.8759
"ALPK2"	4.4563	4.2595	4.2626	4.0973	4.3568	4.5085
"ALPK3"	4.8092	4.7642	4.4673	4.5858	4.7464	4.579
"ALPL"	4.0801	3.9733	4.0336	4.073	4.0617	4.0476
"ALPP"	4.4437	4.3722	4.389	4.5949	4.5195	4.479
"ALPPL2"	6.1126	6.0771	6.0461	5.9706	6.1238	6.1487
"ALS2"	8.2434	8.2017	8.1785	7.8863	7.7851	7.7162
"ALS2CL"	6.1104	5.9798	6.1225	5.9098	6.093	6.1342
"ALS2CR11"	3.027	3.1142	2.954	3.0594	3.0424	3.1807
"ALS2CR12"	3.9416	3.9374	4.1173	3.8708	3.935	4.0121
"ALX1"	7.753	7.8813	7.6462	8.37	8.2251	8.1933
"ALX3"	5.2666	4.9467	5.0615	4.9355	5.1235	5.0273
"ALX4"	5.9227	5.5622	5.7451	5.7536	5.7018	5.7271
"ALYREF"	12.7779	12.7308	12.573	12.4281	12.4457	12.3827
"AMACR"	4.9549	5.0154	5.0773	4.8801	5.1206	5.1893
"AMBN"	5.7191	5.706	5.6525	5.4333	5.3764	5.3047
"AMBP"	5.8256	5.7915	5.6998	5.6386	5.7244	5.7148
"AMBRA1"	4.9732	4.6839	4.9912	4.7157	4.6969	4.7497
"AMD1"	11.4673	11.3946	11.5148	11.0722	11.0201	11.0417
"AMDHD1"	3.9102	3.9799	3.7503	4.1269	3.9182	4.1428
"AMELX"	3.6115	3.2128	3.4247	3.4247	3.3548	3.5182
"AMELY"	4.2623	4.1002	4.2158	4.2228	4.1952	4.1728
"AMER1"	5.5385	5.5563	5.5763	5.1853	5.3721	5.3899
"AMER2"	3.9028	3.7998	3.805	3.4452	3.4314	3.4828
"AMER3"	4.7666	4.7085	4.9312	4.6273	4.705	4.7743
"AMFR"	8.8975	8.7144	8.7917	9.2199	9.1184	9.1643
"AMHR2"	5.9936	6.175	5.993	6.0292	6.1841	6.0067
"AMICA1"	5.6257	5.6038	5.5287	5.5369	5.3981	5.4955
"AMIGO1"	6.0727	6.2734	6.177	6.2708	6.2179	6.2534
"AMIGO2"	7.2384	7.4101	7.2472	7.3929	7.3011	7.0273
"AMMECR1"	7.9152	8.1632	8.078	8.2881	8.1511	8.2815
"AMMECR1L"	10.528	10.5003	10.5463	10.5093	10.4094	10.4054
"AMN"	5.4221	5.3934	5.3433	5.0959	5.311	5.2484
"AMOT"	7.7891	7.7291	7.7348	8.3447	8.2317	8.3548
"AMOTL1"	7.4089	7.5719	7.4748	7.391	7.2843	7.2971
"AMOTL2"	8.7752	8.7967	8.7803	8.9629	8.9059	8.8525
"AMPD1"	4.7437	4.5087	4.6566	4.7108	4.4172	4.3723
"AMPD2"	9.4489	9.5461	9.5118	8.9668	9.0906	8.9124
"AMPD3"	5.7955	5.8829	5.8257	5.7116	5.9046	5.7738
"AMPH"	6.9509	6.7873	6.7285	7.8422	7.82	7.8123
"AMT"	6.3926	6.5368	6.5607	6.676	6.927	6.8859
"AMZ1"	6.4732	6.3477	6.2811	6.2746	6.2976	6.3612
"AMZ2"	11.5569	11.4756	11.4931	11.994	12.0374	11.985
"AMZ2P1"	8.8873	8.8269	8.8061	9.2056	9.228	9.1502
"ANAPC10"	9.5999	9.6557	9.4958	9.1816	9.2475	9.1503
"ANAPC11"	9.4119	9.2474	9.1362	8.9899	8.9328	9.0028
"ANAPC13"	7.9157	7.8629	7.9768	7.8141	7.8998	7.8032
"ANAPC15"	8.4468	8.5437	8.4121	8.5834	8.5089	8.4827
"ANAPC16"	9.9902	9.9307	10.0606	10.34	10.2866	10.3589
"ANAPC2"	7.6112	7.5493	7.4677	7.2934	7.2556	7.453
"ANAPC4"	10.2672	10.3815	10.3027	10.0042	10.1066	9.9164
"ANAPC5"	9.2014	9.0718	9.017	9.5666	9.321	9.4681
"ANAPC7"	9.6486	9.5523	9.6241	9.7369	9.684	9.682
"ANG"	6.3482	6.556	6.3712	6.7689	6.8941	6.644
"ANGEL1"	8.437	8.2069	8.2548	8.3755	8.2728	8.2977
"ANGEL2"	9.0403	8.9924	9.1058	8.413	8.4681	8.3076
"ANGPT1"	3.4051	3.3017	3.2458	3.2218	3.3234	3.1809
"ANGPT2"	3.7245	3.7079	3.6586	3.6153	3.7376	3.662
"ANGPT4"	5.6682	5.5932	5.6667	5.6108	5.7063	6.0058
"ANGPTL1"	3.3618	3.3834	3.3276	3.2224	3.1987	3.1455
"ANGPTL2"	4.6259	4.5247	4.3103	4.412	4.5203	4.6718
"ANGPTL3"	3.6755	3.7122	3.8551	3.6395	3.7765	3.5996
"ANGPTL4"	5.6688	5.6812	5.6061	5.4534	5.6544	5.464
"ANGPTL6"	5.4501	5.11	5.3391	5.5178	5.1901	5.3901
"ANGPTL7"	4.3014	4.4665	4.2127	4.1339	4.3988	4.132
"ANHX"	5.8913	5.8071	5.8755	5.8446	5.7504	5.6982
"ANK1"	5.6042	5.5731	5.7954	5.836	5.7871	6.0083
"ANK2"	4.6451	4.6814	4.76	4.7075	4.7023	4.4789
"ANK3"	5.5683	5.6884	5.8488	6.4728	6.362	6.5165
"ANKAR"	3.6526	3.7007	3.7602	3.768	3.7629	3.8935
"ANKDD1A"	5.392	5.334	5.1028	5.3681	5.3088	5.3955
"ANKEF1"	5.183	5.2273	5.1254	5.6768	5.5542	5.686
"ANKFN1"	4.1111	4.0341	3.7032	3.9765	3.8178	3.9252
"ANKFY1"	6.1899	6.127	6.0608	5.9033	6.044	5.9939
"ANKH"	5.9004	5.8082	6.0805	6.21	6.2091	5.9571
"ANKHD1"	5.8761	5.7966	6.2634	6.3149	5.9372	6.2256
"ANKIB1"	9.1857	9.0807	8.9545	9.0431	9.0437	9.0688
"ANKLE1"	4.8448	4.8075	5.2138	4.9926	4.5471	4.7989
"ANKLE2"	7.9125	7.9412	7.9597	8.2195	8.1501	8.1064
"ANKMY1"	5.0045	5.0502	4.9264	5.1563	4.9977	5.0373
"ANKMY2"	10.4888	10.5063	10.4154	9.8181	9.89	9.7148
"ANKRA2"	9.3846	9.5039	9.5598	9.6107	9.5726	9.6266
"ANKRD1"	3.811	3.9427	3.9726	3.6519	4.1219	3.6885
"ANKRD10"	6.3983	6.4664	6.5	6.4152	6.353	6.5143
"ANKRD10-IT1"	8.1692	8.4532	8.4149	8.4867	8.4393	8.5746
"ANKRD11"	9.2753	9.1498	9.1572	8.7808	8.8598	8.724
"ANKRD12"	8.3167	8.5083	8.3977	7.3817	7.4254	7.2694
"ANKRD13A"	7.5564	7.4743	7.6892	7.633	7.573	7.5431
"ANKRD13B"	5.5513	5.8191	5.5182	5.8821	5.6334	5.4446
"ANKRD13C"	9.0539	9.1876	9.1295	8.9366	8.8747	8.8455
"ANKRD13D"	6.6415	6.6163	6.764	6.6126	6.6235	6.6444
"ANKRD16"	7.6499	7.7361	7.5696	7.6567	7.6079	7.5244
"ANKRD17"	10.9985	10.9663	11.0431	10.7816	10.8281	10.7675
"ANKRD18A"	5.8948	6.317	6.0126	5.8002	5.6669	5.384
"ANKRD18B"	5.4321	5.4988	5.3017	5.3078	5.4692	5.1341
"ANKRD19P"	7.155	7.3013	7.1713	7.1776	7.0317	7.247
"ANKRD2"	5.0027	5.1015	4.9954	4.95	4.9098	4.952
"ANKRD20A11P"	7.4337	7.7715	7.7307	7.6029	7.6006	7.6447
"ANKRD20A12P"	4.4399	4.2393	4.2801	4.2672	4.4493	4.5685
"ANKRD20A5P"	4.9777	5.3385	5.0901	5.3029	5.2064	5.5243
"ANKRD22"	4.8753	4.6965	4.7567	4.6795	4.8073	4.756
"ANKRD23"	4.6274	4.6189	4.7032	4.8691	4.6716	4.4511
"ANKRD24"	5.9743	5.6588	5.6799	5.5851	5.6438	5.734
"ANKRD26"	7.3976	7.6397	7.389	7.3089	7.4705	7.3281
"ANKRD26P3"	3.9071	3.7674	3.9829	3.6166	3.8296	3.8626
"ANKRD27"	10.7387	10.8356	10.7839	10.5986	10.6797	10.6694
"ANKRD28"	6.6572	6.6257	6.6835	6.686	6.6928	6.7599
"ANKRD29"	4.4213	4.5174	4.4725	4.786	4.8883	4.7479
"ANKRD30A"	3.5018	3.8362	3.7349	3.5875	3.617	3.7112
"ANKRD30B"	3.0791	3.0797	2.9033	2.9935	3.0599	3.092
"ANKRD30BP2"	3.3462	3.3025	3.4694	3.5358	3.5541	3.4698
"ANKRD30BP3"	3.8191	3.6419	3.8802	3.6469	3.7717	3.6639
"ANKRD31"	3.8648	3.8372	3.6685	3.6912	3.5827	3.5827
"ANKRD33"	4.0599	4.1477	4.1627	4.1097	4.3272	4.3383
"ANKRD33B"	7.7782	7.743	7.6716	8.0202	8.0615	7.9107
"ANKRD34A"	5.9089	5.8353	5.7734	5.8169	5.8948	5.7036
"ANKRD34C"	4.0443	4.0168	3.9023	4.0042	3.9812	4.0743
"ANKRD35"	5.1329	4.9439	5.1589	4.9449	4.929	4.9873
"ANKRD36"	6.9269	7.1959	7.1835	6.8046	6.8133	6.806
"ANKRD36B"	8.624	8.8735	8.9731	8.8122	8.6044	8.9361
"ANKRD36BP2"	3.2923	3.2974	3.1699	3.5518	3.3329	3.4553
"ANKRD36C"	4.0544	3.7037	3.7784	3.7437	3.8514	3.7826
"ANKRD37"	6.6341	6.747	6.8036	6.4282	6.3734	6.3575
"ANKRD39"	8.7791	8.8768	8.6164	8.7857	8.6536	8.5749
"ANKRD40"	7.0341	7.1197	7.2084	7.8446	7.6704	7.7936
"ANKRD44"	5.5875	5.4782	5.3205	5.4107	5.3949	5.3802
"ANKRD44-IT1"	3.1154	2.9886	3.0949	3.0949	3.0299	3.089
"ANKRD45"	3.3427	3.2035	3.1833	3.2104	3.2162	3.304
